band,kind,spin,index,energy_keV,upper,lower,be2_energy_down_WU
band1,level,0,1,0.000000,,,
band1,level,2,1,1475.068000,,,
band1,level,4,1,3005.857000,,,
band1,level,6,1,4595.569000,,,
band1,transition,,,,2_1,0_1,24.729613
band1,transition,,,,4_1,2_1,46.048931
band1,transition,,,,6_1,4_1,65.690775
band2,level,0,2,2842.678000,,,
band2,level,2,3,3934.812000,,,
band2,level,4,3,4948.204000,,,
band2,level,6,2,5879.335000,,,
band2,transition,,,,2_3,0_2,39.481688
band2,transition,,,,4_3,2_3,79.207824
band2,transition,,,,6_2,4_3,125.397709
band3,level,2,2,3241.425000,,,
band3,level,3,1,4651.213000,,,
band3,level,4,2,4746.092000,,,
band3,level,5,1,5933.838000,,,
band3,level,6,3,6111.082000,,,
band3,transition,,,,3_1,2_2,52.237880
band3,transition,,,,4_2,2_2,31.659604
band3,transition,,,,5_1,4_2,26.531226
band3,transition,,,,6_3,4_2,59.716867
band3,transition,,,,4_2,3_1,10.677200
band3,transition,,,,6_3,5_1,11.494589
band3,transition,,,,5_1,3_1,49.630847
interband,transition,,,,2_2,0_1,0.000264
interband,transition,,,,2_2,2_1,33.591268
interband,transition,,,,2_2,0_2,0.175479
interband,transition,,,,0_2,2_1,34.438634
