band,kind,spin,index,energy_keV,upper,lower,be2_energy_down_WU
band1,level,0,1,0.000000,,,
band1,level,2,1,518.682000,,,
band1,level,4,1,1316.657000,,,
band1,level,6,1,2351.120000,,,
band1,transition,,,,2_1,0_1,58.099796
band1,transition,,,,4_1,2_1,90.569120
band1,transition,,,,6_1,4_1,117.652192
band2,level,0,2,1991.027000,,,
band2,level,2,3,2485.304000,,,
band2,level,4,4,3104.938000,,,
band2,level,6,3,3875.291000,,,
band2,transition,,,,2_3,0_2,84.289550
band2,transition,,,,4_4,2_3,175.524618
band2,transition,,,,6_3,4_4,222.098649
band3,level,2,2,1130.961000,,,
band3,level,3,1,1775.819000,,,
band3,level,4,2,2187.629000,,,
band3,level,5,1,2872.974000,,,
band3,level,6,2,3438.558000,,,
band3,transition,,,,3_1,2_2,96.819331
band3,transition,,,,4_2,2_2,57.016939
band3,transition,,,,5_1,4_2,41.401469
band3,transition,,,,6_2,4_2,90.477079
band3,transition,,,,4_2,3_1,0.147817
band3,transition,,,,6_2,5_1,0.000004
band3,transition,,,,5_1,3_1,74.038264
interband,transition,,,,2_2,0_1,4.423912
interband,transition,,,,2_2,2_1,92.833346
interband,transition,,,,0_2,2_2,57.226453
interband,transition,,,,0_2,2_1,14.156065
