nucleus  q21  q22  q23  q24  q31  q32  q33  q34
Te108	0.51574274  0.71313456  0.67999316  1.01910128 0.25422048  0.54865852  0.17619052  1.00055099
Te110	0.55832821  0.90875664  0.78916119  1.41198631 0.28689082  0.83489506  0.21961925  1.75481646
Te112	0.62602945  1.33616955  1.13328328  1.60008592 0.34870878  1.58918607  0.92209615  2.00695669
Te114	0.68948043  1.51879619  1.16098099  1.72966966 0.40692788  1.90530575  0.92960821  2.11457485
Te116	0.74140876  1.59328800  1.10377106  2.04921911 0.46724292  1.99296989  0.70026052  2.61535849
Te118	0.63285015  1.73699737  1.19814889  1.90644954 0.30073624  2.21398484  0.76918200  2.32540861
Te120	0.58453094  1.54023537  1.27697854  1.66836926 0.25171787  1.77422946  0.86583430  1.75988700
Te122	0.53024773  1.08513175  1.35303944  1.31044301 0.22582753  0.85613179  1.10805920  1.03917461
Te124	0.46845089  0.81160152  0.98678530  1.23694197 0.19362795  0.55341565  0.50035320  0.90641172
Te126	0.42164105  0.62514987  0.70194662  1.07626353 0.16643108  0.37965862  0.27815536  0.78956111
Te128	0.36052484  0.52365577  0.58953254  0.89641893 0.13366378  0.28968180  0.19465301  0.67467047
Te130	0.24827115  0.57876868  0.49439365  0.82631159 0.04085587  0.29010039  0.08327414  0.66324713
Te132	0.20885948  0.37310301  0.46510147  0.56579293 0.04118566  0.14827928  0.13641117  0.29453818
Te134	0.23550556  0.41136115  0.56930912  0.57153796 0.05154988  0.15815125  0.29935280  0.18964619
Te136	0.23175710  0.36112755  0.51226877  0.44852266 0.04880607  0.13898800  0.29786462  -0.00665166
Te138	0.35793201  0.45336394  0.48170958  0.71482595 0.13524060  0.26224119  0.05611674  0.58427676
Te140	0.45619700  0.63709721  0.56662424  1.01895489 0.21168770  0.47948801  0.07710443  1.06356511
Te142	0.54995394  0.81275183  0.67851799  1.27043552 0.29695393  0.71191275  0.10347691  1.51465935
Te144	0.65706629  1.02910184  0.78975823  1.65403080 0.39510574  1.02695453  0.10858993  2.29227317
Te146	0.78901165  1.31582636  0.92799543  2.01141176 0.52674074  1.49443374  0.15002211  3.08445466
Te148	0.93172803  1.62204564  1.08463328  2.19888557 0.68116717  2.04519587  0.22827962  3.52856627
Te150	1.05476034  1.85739289  1.22612518  2.39872737 0.81426305  2.49980003  0.28853894  4.02491902
Te152	1.12521319  2.03720534  1.31118314  2.57022373 0.86732631  2.85921334  0.29414879  4.47096102
Te154	1.13223717  2.12663005  1.34764983  2.71893153 0.83012424  3.04525557  0.24899928  4.75363474
Te156	1.08656601  2.12191945  1.40900371  2.69947636 0.74780581  3.05602814  0.27184573  4.43683742
Te158	0.98775455  1.99779861  1.52940969  2.53428164 0.62745522  2.76212599  0.59620882  3.76276734
Te160	0.86828996  1.74525221  1.64391403  2.34052372 0.50511044  2.11461037  1.17944262  3.03803360
Te162	0.75563886  1.46286064  1.69865388  2.14185021 0.41072647  1.47063366  1.66804858  2.37090457
Te164	0.65435173  1.26407164  1.68791488  1.95525936 0.34073639  1.09233352  1.85043542  1.90535742
Te166	0.57874300  1.15473828  1.62820958  1.79361939 0.29325978  0.94331767  1.83471397  1.61992358
Te168	0.53603123  1.09708584  1.54836184  1.65204636 0.26676968  0.90299095  1.73911086  1.46641004
Te170	0.51062021  1.08062726  1.36322806  1.58358372 0.24808922  0.93586239  1.38669854  1.56007605
Te172	0.48045788  1.05517651  1.24676371  1.43906869 0.21620648  0.95743454  1.19903311  1.39803675
Te174	0.43376130  0.99752136  1.60452986  0.90074152 0.16788291  0.89490881  2.02636726  0.27900983
Te176	0.37350358  0.92646821  1.44371384  0.96568676 0.11886095  0.79993970  1.77193895  0.37935014
Te178	0.48703863  1.69862414  1.38705488  1.95880894 0.17544294  2.05897578  1.26164805  2.20969640
nucleus  q21  q22  q23  q24  q31  q32  q33  q34
Te108	0.51591130  0.71320096  0.68033512  1.02075682 0.25410304  0.54861284  0.17686653  1.00133746
Te110	0.55871971  0.90908662  0.79072835  1.41374624 0.28706033  0.83495091  0.22226971  1.74812904
Te112	0.62648723  1.33694231  1.13973799  1.60536655 0.34937009  1.58862257  0.93162738  2.02515120
Te114	0.69011963  1.51971197  1.16522692  1.73494920 0.40801065  1.90770260  0.93952239  2.14600341
Te116	0.74227877  1.59505330  1.10652148  2.05628830 0.46891587  1.99565028  0.70118585  2.65097609
Te118	0.63367064  1.73927494  1.20095873  1.91338147 0.30232104  2.21822344  0.77084212  2.36467668
Te120	0.58492590  1.54147224  1.27927855  1.67247286 0.25273894  1.77692546  0.87166900  1.77147043
Te122	0.53035723  1.08575150  1.35377417  1.31254432 0.22596506  0.85623645  1.10821645  1.03861543
Te124	0.46855164  0.81199046  0.98707561  1.23895806 0.19365949  0.55477118  0.50135833  0.91427132
Te126	0.42174783  0.62538871  0.70246704  1.07705887 0.16651930  0.37971639  0.28027291  0.79281946
Te128	0.36061328  0.52380967  0.59009147  0.89729134 0.13381713  0.28964832  0.19591022  0.67632057
Te130	0.24956124  0.57975579  0.49969417  0.82986508 0.04216864  0.29133858  0.08569864  0.67030026
Te132	0.20910619  0.37361143  0.46684828  0.56735732 0.04135508  0.14842207  0.14084709  0.29408614
Te134	0.23570070  0.41213896  0.57091458  0.57474229 0.05183380  0.15910257  0.29999987  0.18823671
Te136	0.23178166  0.36121333  0.51263342  0.44918044 0.04882657  0.13917087  0.29718914  -0.00514950
