Dy140	0.720617  0.577740  0.248894
Dy142	0.452278  0.626449  0.598438
Dy144	0.261152  0.588329  0.439913
Dy146	0.120501  0.167413  0.254547
Dy148	0.108126  0.061855  0.064985
Dy150	0.140612  0.176529  0.226023
Dy152	0.272302  0.468012  0.229974
Dy154	0.471254  0.249202  0.129488
Dy156	0.805928  0.007136  0.070719
Dy158	1.056462  0.007886  0.053681
Dy160	1.149586  1.189064  0.052629
Dy162	1.203251  1.336898  0.038478
Dy164	1.261527  1.404310  0.033401
Dy166	1.325775  1.472849  0.025923
Dy168	1.343750  1.538404  0.026758
Dy170	1.293949  1.603330  0.030845
Dy172	1.212722  1.690074  0.035135
Dy174	1.182027  1.498662  0.038891
Dy176	1.139791  0.882792  0.037530
Dy178	1.081903  0.479476  0.057891
Dy180	0.745544  0.508565  0.491690
Dy182	0.456275  0.703968  0.748083
Dy184	0.321533  0.427770  0.529463
Dy186	0.240600  0.301164  0.422114
Dy188	0.176765  0.216333  0.347680
Dy190	0.106734  0.148599  0.205559
Dy192	0.000674  0.103213  0.000443
Dy194	0.082384  0.042576  0.049829
Dy196	0.155166  0.206106  0.419790
Dy198	0.286976  0.358381  0.219183
Dy200	0.396113  0.558829  0.227004
Dy202	0.551354  0.746138  0.227907
Dy204	0.710061  0.949272  0.233101
Dy206	0.883186  0.966015  0.241830
Dy208	1.081896  0.795455  0.224640
Dy210	1.233747  0.659186  0.204844
Dy212	1.318425  0.569140  0.211347
Dy214	1.357123  0.496932  0.252413
Dy216	1.349319  0.455241  0.361289
Dy218	1.287500  0.456709  0.620119
Dy220	1.163390  0.486774  1.134605
Dy222	0.961931  0.536104  1.467324
Dy224	0.770553  0.624434  1.104408
Dy226	0.669184  0.742703  0.816615
Dy228	0.620497  0.847320  0.721838
Dy230	0.590869  0.906208  0.715780
Dy232	0.560509  0.916688  0.740200
Dy234	0.513514  0.819232  0.743317
Dy236	0.455910  0.679370  0.727708
Dy238	0.407593  0.614905  0.724570
Dy240	0.369206  0.588097  0.683159
Dy242	0.334824  0.592218  0.582632
Dy244	0.306751  0.598280  0.480974
Dy246	0.284924  0.566825  0.402217
