nucleus  B(21+ -> 01+)  B(22+ -> 02+)  B(23+ -> 03+)  B(24+ -> 04+)
Yb148	0.269648  0.024901  0.018599  0.119973
Yb150	0.143250  0.010569  0.001777  0.037122
Yb152	0.153149  0.168587  0.061759  0.015283
Yb154	0.152967  0.024902  0.049811  0.000127
Yb156	0.289792  0.004489  0.006884  0.000529
Yb158	0.416846  0.014800  0.001127  0.108558
Yb160	0.585641  0.000266  0.071986  0.115362
Yb162	0.846109  1.561717  0.058948  0.005773
Yb164	1.187586  1.463981  0.042480  0.000000
Yb166	1.392279  1.174810  0.051534  0.000306
Yb168	1.471371  0.010226  0.026612  0.002954
Yb170	1.524901  0.145422  0.041467  0.000362
Yb172	1.492564  0.816753  0.057949  0.001970
Yb174	1.368608  0.012516  0.035786  0.026914
Yb176	1.307644  0.010246  0.126070  0.038008
Yb178	1.256389  0.018983  0.119457  0.012286
Yb180	1.242514  0.021677  0.000201  0.225963
Yb182	1.128342  0.417733  0.218567  0.028452
Yb184	0.839653  0.301168  0.223770  0.132873
Yb186	0.568766  0.194954  0.021515  0.384151
Yb188	0.380731  0.122031  0.030388  0.047768
Yb190	0.291960  0.003086  0.003592  0.006210
Yb192	0.190533  0.008203  0.042078  0.006042
Yb194	0.078740  0.046974  0.020651  0.001187
Yb196	0.001074  0.037441  0.052625  0.091365
Yb198	0.109277  0.008051  0.152288  0.040552
Yb200	0.205874  0.004929  0.004778  0.009138
Yb202	0.321982  0.011577  0.033294  0.034462
Yb204	0.441646  0.003166  0.048746  0.012427
Yb206	0.621047  0.000699  0.010963  0.020738
Yb208	0.823946  0.014928  0.043680  0.021852
Yb210	1.031782  0.077178  0.159323  0.001183
Yb212	1.249664  0.155645  0.180364  0.000358
Yb214	1.405068  0.203130  0.196039  0.002141
Yb216	1.490282  0.216058  0.191369  0.033632
Yb218	1.540290  0.243611  0.141288  0.042758
Yb220	1.575962  0.307373  0.112601  0.041724
Yb222	1.598192  0.399399  0.122332  0.055737
Yb224	1.594366  0.476120  0.147052  0.075410
Yb226	1.524315  0.520346  0.172080  0.098285
Yb228	1.343145  0.572284  0.193749  0.129060
Yb230	1.080215  0.667764  0.195069  0.172857
Yb232	0.863019  0.648884  0.161952  0.249675
Yb234	0.762870  0.542863  0.098835  0.398569
Yb236	0.712924  0.436456  0.039304  0.273238
Yb238	0.650345  0.363667  0.052336  0.054338
Yb240	0.560138  0.253248  0.140395  0.008026
Yb242	0.485714  0.021068  0.040282  0.202941
Yb244	0.436184  0.001890  0.068816  0.087157
Yb246	0.384577  0.001032  0.064428  0.038385
Yb248	0.325583  0.002266  0.109270  0.005392
Yb250	0.283572  0.001779  0.207039  0.006740
Yb252	0.252807  0.015166  0.273381  0.029465
nucleus  B(21+ -> 01+)  B(23+ -> 02+)  B(22+ -> 21+)
