band,kind,spin,index,energy_keV,upper,lower,be2_energy_down_WU
band1,level,0,1,0.000000,,,
band1,level,2,1,866.264000,,,
band1,level,4,1,2076.811000,,,
band1,level,6,1,3239.923000,,,
band1,transition,,,,2_1,0_1,30.929127
band1,transition,,,,4_1,2_1,55.788164
band1,transition,,,,6_1,4_1,129.321871
band2,level,0,2,1304.164000,,,
band2,level,2,2,1590.651000,,,
band2,level,4,2,2468.201000,,,
band2,level,6,2,3951.300000,,,
band2,transition,,,,2_2,0_2,48.656370
band2,transition,,,,4_2,2_2,89.822974
band2,transition,,,,6_2,4_2,58.754502
band3,level,2,3,2030.713000,,,
band3,level,3,1,2612.653000,,,
band3,level,4,4,3612.844000,,,
band3,level,5,2,4718.131000,,,
band3,level,6,4,5405.579000,,,
band3,transition,,,,3_1,2_3,29.730501
band3,transition,,,,4_4,2_3,35.886028
band3,transition,,,,5_2,4_4,24.598602
band3,transition,,,,6_4,4_4,35.413233
band3,transition,,,,4_4,3_1,4.930938
band3,transition,,,,6_4,5_2,109.418977
band3,transition,,,,5_2,3_1,2.142982
interband,transition,,,,2_3,0_1,0.815286
interband,transition,,,,2_3,2_1,10.363646
interband,transition,,,,2_3,0_2,40.860612
interband,transition,,,,0_2,2_1,46.085834
